record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_500_23,mof_uio66_nh2_sonochemical,CO2,,50,C,0.500,bar,1.810,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_625_24,mof_uio66_nh2_sonochemical,CO2,,50,C,0.625,bar,2.146,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_750_25,mof_uio66_nh2_sonochemical,CO2,,50,C,0.750,bar,2.460,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_875_26,mof_uio66_nh2_sonochemical,CO2,,50,C,0.875,bar,2.731,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_1_000_27,mof_uio66_nh2_sonochemical,CO2,,50,C,1.000,bar,3.002,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Sonochemical-50C; synthesis_method=Sonochemical,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_000_28,mof_uio66_nh2_sonochemical,CO2,,50,C,0.000,bar,0.000,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_125_29,mof_uio66_nh2_sonochemical,CO2,,50,C,0.125,bar,0.347,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_250_30,mof_uio66_nh2_sonochemical,CO2,,50,C,0.250,bar,0.704,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_375_31,mof_uio66_nh2_sonochemical,CO2,,50,C,0.375,bar,1.019,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
preview_uio66_figure6_digitized_points_uio_66_nh2_co2_50_0_500_32,mof_uio66_nh2_sonochemical,CO2,,50,C,0.500,bar,1.214,mmol/g,capacity,,10.1038/s41598-023-47221-6,2023,paper_uio66_nh2_sonochemical_2023,scientific_paper,,https://www.nature.com/articles/s41598-023-47221-6,Figure 6; series=CO2-Solvothermal-50C; synthesis_method=Solvothermal,digitized_figure,,
