record_id,mof_id,gas_type,gas_name,temperature,temperature_unit,pressure,pressure_unit,capacity_value,capacity_unit,measurement_type,isotherm_id,DOI,publication_year,source_id,source_type,source_database,source_url,source_location,extraction_method,extraction_confidence,notes
mofxdb_hMOF-6_iso5105127_p1,mofxdb_hMOF-6,CO2,CarbonDioxide,298.0,K,0.01,bar,0.107653,mol/kg,capacity,5105127,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105127.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p1,mofxdb_hMOF-0,CO2,CarbonDioxide,298.0,K,0.01,bar,0.0224065,mol/kg,capacity,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105121.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p2,mofxdb_hMOF-0,CO2,CarbonDioxide,298.0,K,0.1,bar,0.225851,mol/kg,capacity,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105121.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p3,mofxdb_hMOF-0,CO2,CarbonDioxide,298.0,K,2.5,bar,4.33307,mol/kg,capacity,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105121.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p4,mofxdb_hMOF-0,CO2,CarbonDioxide,298.0,K,0.05,bar,0.0735519,mol/kg,capacity,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105121.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5105121_p5,mofxdb_hMOF-0,CO2,CarbonDioxide,298.0,K,0.5,bar,0.885221,mol/kg,capacity,5105121,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5105121.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5380726_p1,mofxdb_hMOF-0,N2,Nitrogen,298.0,K,0.09,bar,0.0178603,mol/kg,capacity,5380726,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380726.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5380726_p2,mofxdb_hMOF-0,N2,Nitrogen,298.0,K,0.9,bar,0.168861,mol/kg,capacity,5380726,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5380726.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p1,mofxdb_hMOF-0,CH4,Methane,298.0,K,2.5,bar,0.925975,mol/kg,capacity,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518378.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p2,mofxdb_hMOF-0,CH4,Methane,298.0,K,4.5,bar,1.7128,mol/kg,capacity,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518378.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
mofxdb_hMOF-0_iso5518378_p3,mofxdb_hMOF-0,CH4,Methane,298.0,K,0.05,bar,0.0186721,mol/kg,capacity,5518378,10.1039/C2EE23201D,,db_mofxdb,database_api,MOFX-DB,https://mof.tech.northwestern.edu/isotherms/5518378.json,,web_api_json,medium,MOFX-DB category=exp; composition=1.0; origin and units require final verification.
